,From,To,Counts,Log2FC,Pvalue,Percentage
0,AntiInfMacr,AntiInfMacr,925,4.3047372460643905,0.0,0.14548600188738597
1,AntiInfMacr,Bas-I,0,-inf,1.0,0.0
2,AntiInfMacr,Bas-II,7,-2.7111601534255,0.9999999999998602,0.001100975149418056
3,AntiInfMacr,Bas-inflamed,7,-1.8417442632356442,0.9999947925609742,0.001100975149418056
4,AntiInfMacr,Bas-mig,0,-inf,1.0,0.0
5,AntiInfMacr,Bas-prolif,33,-1.8681247555312976,1.0,0.005190311418685121
6,AntiInfMacr,CD4_T,18,-0.22719496652613816,0.7789568045423023,0.0028310789556464295
7,AntiInfMacr,CD8_T,7,-1.1562548865605236,0.9949755957248232,0.001100975149418056
8,AntiInfMacr,DS,10,-0.10785806200140996,0.6357035804093425,0.0015728216420257944
9,AntiInfMacr,EC,198,-0.9123826752162123,1.0,0.031141868512110725
10,AntiInfMacr,FB_APOD,5,-1.3993208761617213,0.996844500327805,0.0007864108210128972
11,AntiInfMacr,Gra-I,2,-4.982082468689606,1.0,0.00031456432840515884
12,AntiInfMacr,HF-CL,8,1.6363030335689999,0.004816693727584531,0.0012582573136206354
13,AntiInfMacr,HF-HS,0,-inf,1.0,0.0
14,AntiInfMacr,HF-IRS,1,-3.4511598076813397,0.999983144164593,0.00015728216420257942
15,AntiInfMacr,HF-Matrix,13,-1.3143089394688365,0.9999647301957773,0.0020446681346335325
16,AntiInfMacr,HF-ORSB,8,-2.95988672257541,1.0,0.0012582573136206354
17,AntiInfMacr,HF-TAC,1,-2.6856250613183623,0.9984397095511369,0.00015728216420257942
18,AntiInfMacr,MELAN,13,1.0888152382665068,0.009829273593973564,0.0020446681346335325
19,AntiInfMacr,Mast,40,0.15087620639875837,0.27412481201559336,0.0062912865681031774
20,AntiInfMacr,Mural,181,-1.9934560905002998,1.0,0.028468071720666878
21,AntiInfMacr,SCH,0,-inf,1.0,0.0
22,AntiInfMacr,Spi-I,24,-3.5176711473859834,1.0,0.0037747719408619063
23,AntiInfMacr,Spi-mig,0,-inf,1.0,0.0
24,AntiInfMacr,Sweat Gland,11,-0.9376883493311531,0.994197703029169,0.0017301038062283738
25,AntiInfMacr,actiFB,318,-0.832993204977853,1.0,0.05001572821642026
26,AntiInfMacr,cDC,36,1.3799632803092146,4.1279556250994887e-07,0.005662157911292859
27,AntiInfMacr,cMono,57,1.3502519750102344,4.710163370447162e-10,0.008965083359547028
28,AntiInfMacr,inflamFB,599,-0.08492171159404198,0.9398833773558991,0.09421201635734508
29,AntiInfMacr,lipidMacr,725,4.317961256056109,0.0,0.11402956904687009
30,AntiInfMacr,myoFB,8,-1.6490991852932484,0.9999802105584404,0.0012582573136206354
31,AntiInfMacr,pDC,15,0.33374026354856867,0.21826309019128542,0.0023592324630386913
32,AntiInfMacr,papiFB,306,-0.17643006821517102,0.9884693647750833,0.0481283422459893
33,AntiInfMacr,retiFB,1205,-0.91504704333436,1.0,0.1895250078641082
34,AntiInfMacr,trMacr,1577,2.1101579876526224,0.0,0.24803397294746776
35,Bas-I,AntiInfMacr,0,-inf,1.0,0.0
36,Bas-I,Bas-I,268,5.712389558936974,0.0,0.128660585693711
37,Bas-I,Bas-II,253,4.074388676308535,0.0,0.1214594335093615
38,Bas-I,Bas-inflamed,169,4.361690428086265,0.0,0.08113298127700432
39,Bas-I,Bas-mig,0,-inf,1.0,0.0
40,Bas-I,Bas-prolif,73,0.8872158610875955,8.355910495749796e-07,0.03504560729716755
41,Bas-I,CD4_T,0,-inf,1.0,0.0
42,Bas-I,CD8_T,3,-0.7687371307996423,0.8850404494009828,0.0014402304368698992
43,Bas-I,DS,1,-1.8198759797914432,0.9709334893776255,0.00048007681228996637
